Nome da safra,Produtividade estimada,Preço esperado de venda,Custo total de produção por hectare,Precipitação acumulada,Temperatura média,Incidência de pragas e doenças,Custo dos insumos agrícolas,Histórico de produtividade da área,Rentavel
Soja,Baixa,Alto,Baixo,Excessiva,Acima da faixa ideal,Baixa,Alto,Baixo,Nao
Milho,Média,Baixo,Baixo,Adequada,Abaixo da faixa ideal,Baixa,Normal,Alto,Sim
Algodão,Alta,Alto,Médio,Insuficiente,Acima da faixa ideal,Moderada,Alto,Alto,Sim
Arroz,Baixa,Normal,Alto,Insuficiente,Adequada,Moderada,Baixo,Alto,Nao
Feijão,Média,Normal,Médio,Excessiva,Acima da faixa ideal,Moderada,Normal,Médio,Nao
Sorgo,Baixa,Normal,Baixo,Adequada,Adequada,Moderada,Baixo,Baixo,Sim
Soja,Alta,Normal,Baixo,Excessiva,Acima da faixa ideal,Baixa,Normal,Médio,Sim
Milho,Média,Alto,Médio,Insuficiente,Abaixo da faixa ideal,Alta,Alto,Alto,Nao
Algodão,Baixa,Baixo,Baixo,Adequada,Adequada,Alta,Baixo,Baixo,Nao
Arroz,Média,Alto,Médio,Insuficiente,Adequada,Baixa,Baixo,Baixo,Sim
Feijão,Alta,Alto,Alto,Adequada,Abaixo da faixa ideal,Moderada,Normal,Baixo,Sim
Sorgo,Alta,Baixo,Alto,Insuficiente,Acima da faixa ideal,Baixa,Baixo,Baixo,Nao
Soja,Baixa,Normal,Médio,Adequada,Abaixo da faixa ideal,Baixa,Alto,Médio,Nao
Milho,Alta,Normal,Baixo,Insuficiente,Abaixo da faixa ideal,Alta,Baixo,Alto,Sim
Algodão,Alta,Baixo,Médio,Adequada,Adequada,Baixa,Alto,Médio,Sim
Arroz,Média,Alto,Alto,Excessiva,Adequada,Alta,Normal,Baixo,Nao
Feijão,Alta,Baixo,Médio,Excessiva,Adequada,Moderada,Alto,Baixo,Nao
Sorgo,Baixa,Alto,Baixo,Excessiva,Adequada,Baixa,Alto,Alto,Sim
Soja,Média,Normal,Médio,Adequada,Acima da faixa ideal,Moderada,Baixo,Alto,Sim
Milho,Média,Baixo,Baixo,Insuficiente,Abaixo da faixa ideal,Moderada,Normal,Baixo,Nao
Algodão,Baixa,Alto,Alto,Adequada,Acima da faixa ideal,Alta,Baixo,Alto,Nao
Arroz,Média,Alto,Baixo,Adequada,Acima da faixa ideal,Alta,Normal,Médio,Sim
Feijão,Alta,Baixo,Alto,Insuficiente,Adequada,Baixa,Baixo,Alto,Sim
Sorgo,Alta,Normal,Alto,Excessiva,Acima da faixa ideal,Baixa,Alto,Médio,Nao
Soja,Baixa,Baixo,Baixo,Insuficiente,Abaixo da faixa ideal,Baixa,Baixo,Alto,Nao
Milho,Alta,Alto,Médio,Excessiva,Abaixo da faixa ideal,Baixa,Alto,Baixo,Sim
Algodão,Média,Normal,Baixo,Excessiva,Adequada,Moderada,Normal,Alto,Sim
Arroz,Média,Normal,Baixo,Excessiva,Abaixo da faixa ideal,Alta,Normal,Alto,Nao
Feijão,Baixa,Alto,Médio,Insuficiente,Adequada,Moderada,Alto,Médio,Nao
Sorgo,Baixa,Alto,Médio,Adequada,Abaixo da faixa ideal,Baixa,Baixo,Médio,Sim
Soja,Alta,Baixo,Baixo,Adequada,Acima da faixa ideal,Alta,Baixo,Baixo,Sim
Milho,Média,Normal,Alto,Adequada,Acima da faixa ideal,Moderada,Alto,Alto,Nao
Algodão,Alta,Baixo,Médio,Excessiva,Acima da faixa ideal,Alta,Baixo,Médio,Nao
Arroz,Alta,Normal,Médio,Insuficiente,Adequada,Moderada,Normal,Médio,Sim
Feijão,Média,Alto,Baixo,Insuficiente,Adequada,Moderada,Alto,Médio,Sim
Sorgo,Baixa,Alto,Médio,Insuficiente,Abaixo da faixa ideal,Baixa,Normal,Baixo,Nao
Soja,Média,Baixo,Alto,Adequada,Adequada,Baixa,Alto,Médio,Nao
Milho,Alta,Normal,Alto,Adequada,Adequada,Alta,Normal,Alto,Sim
Algodão,Alta,Alto,Alto,Excessiva,Adequada,Alta,Alto,Alto,Sim
Arroz,Alta,Alto,Alto,Excessiva,Adequada,Alta,Alto,Médio,Nao
Feijão,Baixa,Baixo,Baixo,Adequada,Abaixo da faixa ideal,Moderada,Baixo,Alto,Nao
Sorgo,Baixa,Normal,Baixo,Adequada,Abaixo da faixa ideal,Moderada,Baixo,Baixo,Sim
Soja,Média,Alto,Médio,Insuficiente,Acima da faixa ideal,Baixa,Normal,Médio,Sim
Milho,Média,Alto,Médio,Insuficiente,Acima da faixa ideal,Baixa,Normal,Baixo,Nao
Algodão,Alta,Normal,Alto,Adequada,Abaixo da faixa ideal,Alta,Baixo,Baixo,Nao
Arroz,Alta,Baixo,Alto,Adequada,Acima da faixa ideal,Baixa,Baixo,Baixo,Sim
Feijão,Média,Baixo,Baixo,Excessiva,Adequada,Moderada,Normal,Alto,Sim
Sorgo,Baixa,Normal,Médio,Excessiva,Adequada,Baixa,Normal,Alto,Nao
Soja,Alta,Baixo,Baixo,Insuficiente,Acima da faixa ideal,Moderada,Alto,Médio,Nao
Milho,Alta,Normal,Médio,Adequada,Abaixo da faixa ideal,Alta,Normal,Médio,Sim
Algodão,Baixa,Normal,Médio,Insuficiente,Adequada,Baixa,Baixo,Alto,Sim
Arroz,Média,Alto,Alto,Excessiva,Acima da faixa ideal,Moderada,Baixo,Alto,Nao
Feijão,Média,Baixo,Médio,Adequada,Adequada,Alta,Normal,Médio,Nao
Sorgo,Alta,Alto,Médio,Insuficiente,Abaixo da faixa ideal,Moderada,Alto,Baixo,Sim
Soja,Média,Alto,Baixo,Excessiva,Abaixo da faixa ideal,Alta,Baixo,Médio,Sim
Milho,Baixa,Normal,Baixo,Adequada,Acima da faixa ideal,Baixa,Alto,Baixo,Nao
Algodão,Média,Alto,Baixo,Insuficiente,Abaixo da faixa ideal,Alta,Alto,Alto,Nao
Arroz,Alta,Normal,Baixo,Excessiva,Acima da faixa ideal,Moderada,Alto,Médio,Sim
Feijão,Baixa,Alto,Alto,Adequada,Adequada,Moderada,Normal,Médio,Sim
Sorgo,Alta,Baixo,Alto,Insuficiente,Abaixo da faixa ideal,Baixa,Normal,Alto,Nao
Soja,Baixa,Normal,Baixo,Insuficiente,Adequada,Alta,Baixo,Médio,Nao
Milho,Média,Baixo,Baixo,Adequada,Acima da faixa ideal,Baixa,Alto,Alto,Sim
Algodão,Alta,Baixo,Médio,Insuficiente,Adequada,Baixa,Normal,Baixo,Sim
Arroz,Baixa,Alto,Alto,Adequada,Adequada,Moderada,Normal,Baixo,Nao
Feijão,Média,Normal,Baixo,Excessiva,Abaixo da faixa ideal,Moderada,Normal,Médio,Nao
Sorgo,Média,Alto,Alto,Adequada,Acima da faixa ideal,Alta,Baixo,Alto,Sim
Soja,Média,Normal,Baixo,Excessiva,Adequada,Baixa,Alto,Baixo,Sim
Milho,Alta,Baixo,Médio,Excessiva,Acima da faixa ideal,Baixa,Baixo,Baixo,Nao
Algodão,Baixa,Alto,Médio,Adequada,Acima da faixa ideal,Moderada,Alto,Alto,Nao
Arroz,Alta,Baixo,Baixo,Insuficiente,Abaixo da faixa ideal,Alta,Baixo,Alto,Sim
Feijão,Baixa,Alto,Médio,Adequada,Abaixo da faixa ideal,Baixa,Alto,Alto,Sim
Sorgo,Média,Normal,Alto,Excessiva,Adequada,Baixa,Baixo,Baixo,Nao
Soja,Alta,Baixo,Médio,Adequada,Abaixo da faixa ideal,Alta,Alto,Alto,Nao
Milho,Alta,Normal,Alto,Excessiva,Adequada,Moderada,Baixo,Baixo,Sim
Algodão,Baixa,Alto,Baixo,Insuficiente,Acima da faixa ideal,Moderada,Baixo,Médio,Sim
Arroz,Alta,Normal,Médio,Insuficiente,Abaixo da faixa ideal,Baixa,Alto,Médio,Nao
Feijão,Baixa,Alto,Baixo,Insuficiente,Acima da faixa ideal,Moderada,Baixo,Baixo,Nao
Sorgo,Média,Normal,Alto,Adequada,Abaixo da faixa ideal,Baixa,Normal,Alto,Sim
